block_id,service_id,schedule_number
block_48,service_4,6/04
block_49,service_4,6/05
block_50,service_4,6/06
block_51,service_4,6/07
block_75,service_4,10/01
block_76,service_4,10/02
block_77,service_4,10/03
block_78,service_4,10/04
block_79,service_4,10/05
block_80,service_4,10/06
block_81,service_4,10/07
block_82,service_4,10/08
block_83,service_4,10/09
block_84,service_4,10/10
block_116,service_4,17/01
block_117,service_4,17/02
block_118,service_4,17/03
block_119,service_4,17/04
block_120,service_4,17/05
block_121,service_4,17/06
block_122,service_4,17/07
